Current,Voltage,Temperature,SOC,Profile
-0.000190588,3.544758081,10.01737118,1.000000054,1
-0.000190588,3.544758081,10.01737118,1.000000108,1
-0.000190588,3.544758081,10.06213474,1.000000161,1
-0.000190588,3.544450283,10.03119659,1.000000215,1
-0.000190588,3.544142485,10.01737118,1.000000269,1
-0.000190588,3.543834686,9.910727501,1.000000322,1
-0.000190588,3.543834686,10.03119659,1.000000376,1
-0.000190588,3.543526888,9.879786491,1.000000429,1
-0.000378419,3.543526888,10.09307289,1.000000509,1
-0.000190588,3.542603493,10.09307289,1.000000589,1
-0.000190588,3.542911291,10.09307289,1.000000642,1
-0.000190588,3.542295694,10.09307289,1.000000696,1
-0.000378419,3.542295694,9.941667557,1.000000776,1
-0.000190588,3.541988134,9.986432076,1.000000856,1
-0.000378419,3.541988134,10.06213474,1.000000936,1
-0.000190588,3.541680336,10.01737118,1.000001016,1
0.480844796,3.461658478,10.09307289,0.999933619,1
0.480656952,3.45273304,9.986432076,0.999797854,1
0.480656952,3.446269751,9.95549202,0.999663189,1
0.480656952,3.441037655,9.879786491,0.999528261,1
0.480656952,3.436113119,9.986432076,0.999393468,1
0.480656952,3.431804419,10.06213474,0.99925879,1
0.480844796,3.42749548,10.03119659,0.999123957,1
0.480656952,3.423802137,10.03119659,0.998988219,1
0.480656952,3.420108795,10.03119659,0.998853275,1
0.480656952,3.416723251,10.09307289,0.998717667,1
0.480844796,3.413645506,9.879786491,0.99858285,1
0.480844796,3.41056776,10.01737118,0.998448265,1
0.480469137,3.407797813,10.06213474,0.998312974,1
0.480844796,3.40441227,9.910727501,0.998178009,1
0.480844796,3.401950121,10.03119659,0.998042883,1
0.480656952,3.399487972,10.03119659,0.997907547,1
0.480656952,3.396717787,10.06213474,0.997772459,1
0.480844796,3.394563437,9.910727501,0.997636553,1
0.480844796,3.392101288,9.910727501,0.997501503,1
0.480844796,3.389639139,9.910727501,0.997365675,1
0.480656952,3.38748455,10.09307289,0.997230036,1
0.480656952,3.3853302,9.879786491,0.997095107,1
